Entity,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Micronesia (country),16416,16416,16416,16416,16416,16416,16416,16416,16416,16416,16420,16428,16440,16456,16477,16501,16530,16563,16600,16641,16686,16736,16790,16848,16911,16978,17049,17125,17205,17289,17378,17468,17558,17648,17739,17830,17922,18014,18107,18200,18294,18388,18483,18578,18673,18770,18866,18963,19061,19159,19254,19349,19445,19542,19639,19736,19834,19932,20031,20130,20230,20330,20431,20532,20634,20736,20839,20942,21046,21150,21255,21361,21465,21571,21678,21785,21892,22000,22109,22219,22327,22438,22549,22659,22772,22885,22997,23111,23225,23340,23456,23572,23689,23807,23925,24043,24162,24282,24402,24523,24645,24766,24888,25012,25136,25260,25384,25510,25636,25763,25890,26019,26147,26277,26407,26538,26670,26809,26947,27085,27225,27365,27506,27647,27790,27933,28076,28221,28366,28512,28659,28807,28955,29104,29254,29404,29556,29708,29861,30014,30169,30324,30480,30637,30795,30953,31113,31273,31434,32000,33000,35000,36000,37000,38000,39000,40000,42000,43000,45000,46000,47000,49000,50000,52000,54000,56000,58000,60000,61000,62000,62000,62000,62000,63000,64000,66000,68000,71000,73000,75000,78000,81000,83000,86000,88000,90000,92000,94000,96000,99000,101000,104000,106000,108000,108000,108000,108000,108000,107000,107000,107000,107000,107000,106000,105000,104000,104000,103000,103000,103000,105000,106000,107000,109000,110000,111000,113000,114000
Moldova,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712870,713497,714441,715706,717294,719209,721453,724030,726943,730194,733787,737724,742010,746648,751639,756989,762699,768774,775217,782030,789219,796473,803794,811182,818639,826163,833757,841421,849155,856960,864837,872787,880809,888905,897076,905322,913643,922041,930516,939070,947663,956334,965085,973917,982828,991822,1000898,1010057,1019299,1028626,1038039,1047538,1057123,1066797,1076558,1086410,1096351,1106383,1116507,1126724,1137034,1147439,1157615,1168208,1178898,1189686,1200271,1211254,1222337,1233523,1244532,1255920,1267413,1278761,1290462,1302270,1313967,1325990,1338124,1350369,1362725,1375195,1387779,1400478,1413293,1426225,1439276,1452446,1465737,1479149,1492684,1506133,1519915,1533823,1547858,1562022,1576007,1590429,1604982,1619668,1634398,1649353,1664446,1679676,1695046,1710557,1726209,1742100,1758113,1774273,1790582,1807041,1823651,1840413,1857330,1874402,1891631,1909019,1926566,1944274,1962146,1980181,1998383,2016751,2035289,2053997,2072877,2091930,2111159,2130564,2150148,2169912,2189857,2209986,2230299,2250800,2271489,2292368,2313439,2341000,2381000,2432000,2491000,2556000,2627000,2701000,2777000,2854000,2930000,3004000,3077000,3147000,3213000,3276000,3337000,3393000,3446000,3496000,3546000,3596000,3647000,3698000,3749000,3797000,3840000,3878000,3912000,3943000,3976000,4011000,4050000,4091000,4134000,4176000,4216000,4255000,4290000,4322000,4348000,4366000,4375000,4377000,4371000,4359000,4341000,4316000,4286000,4255000,4226000,4203000,4187000,4178000,4173000,4168000,4159000,4146000,4130000,4113000,4098000,4086000,4079000,4076000,4075000,4073000,4071000,4066000,4060000,4052000,4043000
Monaco,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7792,7797,7805,7816,7830,7846,7866,7888,7913,7941,7972,8005,8042,8082,8124,8170,8219,8270,8325,8383,8444,8506,8568,8630,8693,8756,8820,8884,8949,9014,9079,9146,9212,9279,9347,9415,9483,9552,9622,9692,9763,9835,9907,9980,10053,10127,10202,10277,10352,10428,10505,10582,10660,10738,10817,10896,10976,11057,11138,11220,11303,11386,11467,11551,11636,11722,11806,11893,11980,12068,12155,12244,12334,12424,12515,12607,12698,12791,12885,12980,13075,13171,13268,13366,13464,13563,13662,13763,13864,13966,14068,14171,14275,14380,14485,14592,14697,14805,14914,15023,15133,15244,15356,15469,15583,15697,15813,15927,16043,16160,16278,16396,16516,16636,16757,16879,17002,17126,17250,17376,17503,17630,17758,17888,18018,18149,18281,18414,18548,18683,18819,18956,19094,19233,19373,19514,19656,19800,19944,20000,19000,19000,19000,19000,20000,20000,21000,21000,22000,22000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,24000,24000,24000,25000,25000,26000,26000,26000,26000,27000,27000,28000,28000,29000,29000,29000,29000,29000,29000,29000,30000,30000,30000,30000,31000,31000,31000,32000,32000,32000,32000,33000,33000,33000,34000,34000,35000,35000,35000,36000,36000,36000,37000,37000,38000,38000,38000,39000,39000
Mongolia,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619045,619135,619270,619450,619676,619946,620262,620624,621031,621483,621982,622525,623115,623751,624432,625159,625933,626753,627618,628530,629489,630449,631410,632373,633337,634303,635270,636239,637209,638180,639154,640128,641104,642082,643061,644041,645023,646007,646992,647979,648917,649856,650797,651739,652682,653627,654573,655520,656469,657419,658383,659360,660351,661356,662374,663405,664451,665510,666583,667670,668771,669886,670950,672097,673259,674437,675598,676818,678056,679296,680531,681776,683022,684266,685517,686770,688021,689279,690540,691802,693067,694335,695604,696876,698150,699427,700706,701987,703271,704557,705845,707131,708424,709719,711017,712317,713614,714918,716225,717535,718845,720160,721495,722853,724231,725613,726997,728459,729905,731354,732806,734261,735718,737179,738642,740109,741578,743050,744525,746003,747484,748968,750455,751945,753437,754933,756432,757933,759438,760946,762456,763970,765486,767006,768529,770054,771583,773115,774650,780000,794000,808000,823000,839000,855000,872000,890000,910000,931000,956000,982000,1011000,1042000,1075000,1107000,1140000,1173000,1207000,1242000,1279000,1317000,1357000,1397000,1438000,1480000,1521000,1562000,1604000,1646000,1690000,1733000,1778000,1823000,1871000,1922000,1976000,2033000,2090000,2141000,2184000,2218000,2243000,2263000,2280000,2298000,2317000,2336000,2356000,2376000,2397000,2420000,2443000,2469000,2496000,2526000,2559000,2594000,2632000,2674000,2720000,2770000,2825000,2882000,2940000,2998000,3056000,3114000,3170000,3225000
Montenegro,126582,126582,126582,126582,126582,126582,126582,126582,126582,126582,126635,126743,126904,127121,127393,127720,128104,128545,129043,129599,130214,130887,131619,132412,133265,134178,135154,136191,137291,138454,139681,140919,142168,143428,144699,145981,147274,148580,149896,151224,152565,153916,155280,156656,158045,159445,160858,162283,163722,165172,166613,168066,169532,171010,172501,174006,175523,177054,178598,180156,181727,183311,184910,186523,188149,189790,191445,193115,194799,196497,198211,199940,201631,203389,205163,206952,208708,210528,212364,214216,216039,217923,219823,221700,223633,225583,227515,229499,231500,233519,235555,237610,239682,241772,243880,246007,248152,250316,252498,254700,256921,259128,261388,263667,265966,268285,270575,272935,275315,277715,280123,282565,285029,287514,290021,292550,295101,297730,300369,303030,305716,308425,311158,313915,316697,319503,322334,325191,328073,330980,333913,336872,339857,342868,345907,348972,352064,355184,358332,361507,364710,367942,371203,374492,377811,381159,384536,387944,391382,395000,401000,411000,422000,433000,444000,453000,462000,470000,478000,487000,498000,510000,521000,529000,534000,534000,530000,525000,521000,520000,523000,529000,538000,547000,554000,560000,566000,570000,575000,581000,588000,595000,603000,609000,614000,616000,617000,616000,615000,615000,616000,617000,619000,620000,620000,620000,618000,616000,615000,614000,613000,613000,614000,615000,616000,618000,620000,621000,623000,624000,625000,626000,626000,627000,627000,627000,628000,628000,628000
Morocco,2512195,2521203,2530245,2539318,2548424,2557563,2566734,2575939,2585176,2595056,2604775,2614945,2625571,2636656,2648205,2660224,2672716,2685686,2699138,2713079,2727511,2742441,2757872,2773810,2790260,2807226,2824713,2842727,2861273,2880355,2899979,2919737,2939629,2959657,2979821,3000123,3020562,3041142,3061861,3082721,3103724,3124870,3146160,3167595,3189175,3210903,3232779,3254804,3276979,3299305,3321819,3344485,3367307,3390284,3413418,3436710,3460160,3483771,3507543,3531477,3555620,3579973,3604538,3629317,3654312,3679525,3704956,3730609,3756485,3782586,3808913,3835470,3861415,3888443,3915711,3943220,3970290,3998327,4026618,4055109,4083262,4112153,4141250,4170069,4199575,4229290,4258793,4288927,4319274,4349835,4380613,4411609,4442824,4474260,4505918,4537800,4569908,4602243,4634807,4667601,4700628,4733497,4766989,4800719,4834687,4868896,4902779,4937469,4972405,5007588,5042854,5078535,5128451,5192915,5272249,5352794,5434569,5517517,5601751,5687270,5774095,5862245,5951741,6042604,6134854,6228512,6323599,6420139,6518152,6617662,6718691,6821262,6925399,7031126,7138467,7247446,7358090,7470422,7584470,7700258,7817815,7937166,8058339,8181362,8306263,8433071,8561814,8692524,8825229,8986000,9243000,9529000,9837000,10163000,10503000,10853000,11212000,11578000,11951000,12329000,12711000,13095000,13478000,13858000,14230000,14595000,14954000,15307000,15657000,16005000,16351000,16697000,17049000,17413000,17796000,18199000,18620000,19060000,19517000,19990000,20480000,20984000,21495000,22003000,22499000,22980000,23447000,23904000,24356000,24807000,25260000,25711000,26155000,26584000,26994000,27383000,27755000,28110000,28456000,28794000,29126000,29455000,29783000,30115000,30456000,30805000,31164000,31537000,31929000,32343000,32782000,33242000,33716000,34192000,34664000,35126000,35581000,36029000,36472000
Mozambique,1987859,1993408,1998974,2004555,2010152,2015764,2021392,2027035,2032695,2038660,2044939,2051828,2059333,2067462,2076221,2085618,2095660,2106353,2117705,2129723,2142416,2155789,2169851,2184609,2200070,2216244,2233136,2250756,2269111,2288209,2308058,2328080,2348275,2368645,2389192,2409917,2430822,2451908,2473178,2494631,2516271,2538099,2560116,2582323,2604724,2627319,2650110,2673098,2696286,2719675,2741338,2763171,2785177,2807357,2829712,2852244,2874954,2897843,2920913,2944165,2967601,2991222,3015029,3039024,3063209,3087584,3112152,3136914,3161871,3187025,3212378,3237931,3262874,3288825,3314981,3341342,3367159,3393932,3420917,3448114,3474835,3502457,3530298,3557738,3586014,3614512,3642692,3671637,3700811,3730214,3759849,3789717,3819821,3850161,3880741,3911561,3942624,3973932,4005486,4037289,4069342,4101137,4133693,4166504,4199574,4232904,4265754,4299604,4333721,4368107,4402543,4437470,4472671,4508149,4543906,4579944,4616266,4657456,4697857,4738609,4779714,4821176,4862997,4905182,4947732,4990651,5033943,5077610,5121656,5166084,5210898,5256100,5301694,5347684,5394073,5440864,5488061,5535668,5583687,5632123,5680979,5730259,5779967,5830105,5880679,5931691,5983146,6035047,6087398,5959000,6059000,6165000,6275000,6390000,6508000,6632000,6760000,6894000,7036000,7185000,7342000,7507000,7679000,7857000,8039000,8226000,8418000,8614000,8816000,9023000,9233000,9446000,9669000,9907000,10165000,10444000,10739000,11041000,11341000,11630000,11913000,12190000,12440000,12636000,12764000,12809000,12786000,12758000,12806000,12987000,13328000,13806000,14371000,14948000,15483000,15960000,16397000,16814000,17244000,17712000,18222000,18764000,19331000,19911000,20494000,21080000,21673000,22277000,22895000,23532000,24188000,24863000,25561000,26286000,27042000,27830000,28649000,29496000,30366000
Myanmar,3506000,3506000,3506000,3506000,3506000,3506000,3506000,3506000,3506000,3506000,3506639,3507921,3509846,3512418,3515640,3519513,3524040,3529225,3535068,3541573,3548743,3556579,3565085,3574262,3584114,3594644,3605853,3617744,3630320,3643584,3657538,3671545,3685606,3699721,3713890,3728113,3742391,3756723,3771110,3785553,3800052,3814608,3829221,3843891,3858619,3873405,3888249,3903151,3918111,3933130,3947881,3962688,3977551,3992472,4007451,4022487,4037580,4052732,4067941,4083210,4103576,4129203,4160259,4196916,4239352,4287752,4342303,4403199,4470641,4544833,4625987,4714321,4776770,4880949,4993560,5114862,5222590,5366315,5520359,5678825,5829345,5996681,6168820,6334013,6517170,6706960,6889032,7091664,7301841,7519832,7745917,7980386,8223536,8475678,8737133,9008181,9271848,9527660,9775213,10013993,10243464,10496297,10702036,10893168,11068894,11228554,11385069,11549320,11715932,11870774,12031096,12157433,12261865,12367273,12473658,12581019,12689357,12770262,12881642,12994680,13146502,13277439,13416996,13557879,13700419,13844285,13989808,14136658,14285164,14434997,14602730,14788364,14992561,15199410,15409242,15622057,15837856,16056639,16278405,16503485,16666821,16767444,16804054,16840744,16877516,16914366,16951296,16988308,17025402,17780000,18104000,18441000,18793000,19162000,19550000,19956000,20380000,20820000,21273000,21737000,22212000,22698000,23198000,23718000,24259000,24824000,25410000,26015000,26636000,27269000,27914000,28570000,29238000,29918000,30611000,31314000,32027000,32749000,33481000,34224000,34976000,35734000,36492000,37242000,37977000,38698000,39404000,40086000,40731000,41335000,41890000,42402000,42890000,43383000,43902000,44452000,45027000,45611000,46181000,46720000,47225000,47702000,48149000,48564000,48950000,49301000,49621000,49930000,50250000,50601000,50991000,51414000,51852000,52281000,52681000,53045000,53383000,53708000,54045000
Namibia,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229060,229120,229180,229240,229299,229359,229419,229479,229539,229599,229659,229719,229779,229838,229898,229958,230018,230078,230138,230198,230258,230318,230377,230437,230497,230557,230617,230677,230737,230797,230857,230916,230976,231036,231096,231156,231216,231276,231336,231395,231455,231515,231575,231635,231695,231755,231815,231875,231934,231994,232054,232114,232174,232234,232294,232354,232414,232473,232533,232593,232653,232713,232773,232833,232893,232953,233012,232992,232992,232992,234428,237326,241713,246181,250732,255367,260088,264896,269792,274780,279859,285033,290302,295668,301134,306700,312370,318144,324025,330015,336116,342329,348657,355102,361667,375416,397019,427200,459675,514000,524000,534000,545000,556000,568000,580000,593000,606000,620000,634000,649000,665000,682000,699000,717000,735000,754000,773000,795000,817000,842000,869000,896000,923000,948000,971000,993000,1014000,1035000,1058000,1081000,1105000,1132000,1162000,1198000,1240000,1287000,1337000,1386000,1433000,1476000,1517000,1555000,1592000,1628000,1663000,1698000,1732000,1764000,1795000,1824000,1852000,1879000,1908000,1938000,1971000,2007000,2043000,2081000,2119000,2157000,2195000,2234000,2273000,2315000,2358000,2403000,2448000,2495000
Nauru,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1835,1836,1837,1839,1841,1843,1846,1849,1852,1855,1859,1864,1868,1873,1878,1884,1890,1896,1903,1910,1917,1924,1931,1938,1945,1952,1960,1967,1974,1981,1988,1996,2003,2010,2018,2025,2033,2040,2048,2055,2062,2069,2077,2084,2091,2099,2106,2113,2121,2128,2136,2143,2151,2158,2166,2173,2181,2189,2196,2204,2212,2220,2227,2235,2243,2251,2259,2267,2275,2283,2291,2299,2307,2315,2323,2331,2339,2347,2356,2364,2372,2381,2389,2397,2406,2414,2423,2431,2440,2448,2457,2466,2474,2483,2492,2500,2509,2518,2527,2536,2545,2554,2563,2572,2581,2590,2599,2609,2618,2628,2638,2647,2657,2667,2677,2686,2696,2706,2716,2726,2736,2746,2756,2766,2776,2787,2797,2807,2817,2828,2838,2849,2859,2870,2880,2891,2901,2912,3000,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,6000,6000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000,10000,10000,10000,10000,10000,11000,11000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,11000,11000
Nepal,3881000,3881000,3881000,3881000,3881000,3881000,3881000,3881000,3881000,3881000,3881707,3883124,3885253,3888097,3891659,3895941,3900947,3906679,3913140,3920333,3928260,3936924,3946329,3956476,3967370,3979012,3991405,4004553,4018458,4033123,4048551,4064038,4079585,4095191,4110857,4126582,4142368,4158214,4174121,4190089,4206119,4222212,4238368,4254587,4270870,4287216,4303627,4320101,4336641,4353245,4371767,4390368,4409049,4427810,4446651,4465574,4484577,4503662,4522829,4542079,4561675,4581621,4601920,4622573,4643585,4664958,4686696,4708802,4731279,4754129,4777357,4800966,4823332,4847796,4872680,4897986,4922802,4949219,4976106,5003139,5029982,5057306,5084777,5112098,5138539,5163792,5190873,5214348,5236370,5256925,5276003,5293591,5309677,5324249,5337294,5350410,5365175,5381600,5399699,5419485,5440971,5460230,5486026,5513929,5543955,5574144,5604167,5634681,5665361,5696207,5727123,5758303,5799774,5851705,5914266,5977494,6041397,6102628,6165327,6228670,6292663,6357314,6422629,6488616,6555280,6622629,6690670,6759410,6828857,6899017,6969897,7041506,7113851,7186939,7260778,7335375,7410739,7486877,7563798,7641508,7720017,7799333,7879464,7960418,8042203,8124829,8208304,8292636,8377835,8483000,8664000,8835000,8999000,9159000,9317000,9473000,9630000,9787000,9945000,10105000,10267000,10433000,10605000,10784000,10973000,11173000,11383000,11604000,11835000,12075000,12324000,12583000,12852000,13131000,13420000,13719000,14029000,14348000,14677000,15016000,15367000,15729000,16101000,16477000,16858000,17240000,17624000,18021000,18445000,18905000,19406000,19938000,20490000,21041000,21576000,22090000,22585000,23058000,23510000,23941000,24347000,24726000,25081000,25419000,25745000,26067000,26383000,26667000,26884000,27013000,27041000,26989000,26917000,26906000,27015000,27263000,27633000,28096000,28609000
Netherlands,2258382,2262250,2266123,2270004,2273890,2277784,2281684,2285591,2289505,2293548,2298809,2305553,2313779,2323678,2335297,2348112,2361598,2376042,2391490,2407847,2424969,2442476,2460653,2479785,2499920,2521295,2543862,2567669,2592810,2619333,2647333,2675286,2702952,2730524,2757810,2784238,2809381,2833571,2856952,2880190,2904000,2928476,2953667,2979143,3004286,3029095,3053619,3077571,3100571,3122714,3144324,3165506,3186687,3208106,3229335,3250135,3271125,3293591,3317676,3343095,3368703,3393883,3417825,3444053,3471184,3499602,3529590,3556103,3589043,3624221,3660447,3698053,3731386,3770794,3811096,3852766,3891170,3935332,3980493,4027301,4075505,4124822,4174606,4223435,4281187,4330862,4379991,4430336,4481500,4533936,4587553,4642896,4699694,4757674,4817380,4879721,4945153,5013948,5085378,5158807,5234145,5308432,5386961,5466489,5546460,5624321,5707269,5781440,5851812,5923383,5990288,6070923,6168554,6277517,6394810,6520435,6639394,6735715,6800369,6856692,6932344,7032991,7147303,7258615,7365595,7469575,7573888,7677535,7780182,7886829,8000474,8118118,8232096,8335743,8428725,8514709,8598359,8687009,8780325,8873974,8960624,9035276,9104929,9178249,9285228,9436866,9616165,9793465,9925789,10042000,10168000,10298000,10432000,10570000,10710000,10852000,10997000,11144000,11295000,11449000,11606000,11767000,11928000,12089000,12248000,12404000,12557000,12707000,12855000,13002000,13148000,13292000,13431000,13562000,13683000,13793000,13893000,13984000,14069000,14148000,14224000,14295000,14365000,14438000,14514000,14596000,14683000,14774000,14869000,14965000,15065000,15166000,15268000,15369000,15468000,15563000,15655000,15746000,15836000,15926000,16018000,16110000,16201000,16287000,16367000,16440000,16507000,16568000,16626000,16683000,16738000,16792000,16844000,16893000,16938000,16981000,17021000,17060000,17097000
